dExec;dPlan;Time;PlanLength;PlanningTime;HeuristicTime;SearchTime;ExpandedNodes;StatesEvaluated;PlanDuration
E1;P1;TO;-;-;-;-;-;-;-
E1;P2;TO;-;-;-;-;-;-;-
E1;P5;TO;-;-;-;-;-;-;-
E1;P10;TO;-;-;-;-;-;-;-
E1;P20;TO;-;-;-;-;-;-;-
E1;P50;TO;-;-;-;-;-;-;-
E1;P100;UNSAT;-;-;-;-;-;-;-
E1;P200;UNSAT;-;-;-;-;-;-;-
E2;P2;TO;-;-;-;-;-;-;-
E2;P5;;-;-;-;-;-;-;-
E2;P10;TO;-;-;-;-;-;-;-
E2;P20;TO;-;-;-;-;-;-;-
E2;P50;43422;1111;43320;18746;43188;1456119;3480077;1750
E2;P100;UNSAT;-;-;-;-;-;-;-
E2;P200;UNSAT;-;-;-;-;-;-;-
E5;P5;TO;-;-;-;-;-;-;-
E5;P10;TO;-;-;-;-;-;-;-
E5;P20;TO;-;-;-;-;-;-;-
E5;P50;32382;466;32262;19096;32121;1456119;3480077;1750
E5;P100;UNSAT;-;-;-;-;-;-;-
E5;P200;UNSAT;-;-;-;-;-;-;-
E10;P10;TO;-;-;-;-;-;-;-
E10;P20;TO;-;-;-;-;-;-;-
E10;P50;27774;251;27661;18935;27518;1456119;3480077;1750
E10;P100;UNSAT;-;-;-;-;-;-;-
E10;P200;UNSAT;-;-;-;-;-;-;-
E20;P20;TO;-;-;-;-;-;-;-
E20;P100;UNSAT;-;-;-;-;-;-;-
E20;P200;UNSAT;-;-;-;-;-;-;-
E50;P50;24534;82;24330;18924;24193;1444832;3462320;1800
E50;P100;UNSAT;-;-;-;-;-;-;-
E50;P200;UNSAT;-;-;-;-;-;-;-
E100;P100;UNSAT;-;-;-;-;-;-;-
E100;P200;UNSAT;-;-;-;-;-;-;-
E200;P200;UNSAT;-;-;-;-;-;-;-
