Experiment,Problem,Type,Delta,Time,PlanLength,PlanningTime,HeuristicTime,SearchTime,ExpandedNodes,StatesEvaluated,PlanDuration
Baxter,P4_i1,SIMU,0.1,463,24,186,7,16,24,55,2.2
Baxter,P4_i1,SIMU,1,212,5,131,2,11,5,17,3
Baxter,P4_i1,SIMU,2,212,4,129,3,10,4,15,4
Baxter,P4_i1,SIMU,3,211,3,129,4,11,3,13,3
Baxter,P4_i1,SIMU,5,211,3,129,2,11,3,13,5
Baxter,P4_i1,SIMU,10,222,3,136,3,11,3,13,10
Baxter,P4_i1,PLAN,0.1,204,24,133,6,16,24,55,2.2
Baxter,P4_i1,PLAN,1,206,24,132,3,11,5,17,2.2
Baxter,P4_i1,PLAN,2,217,24,132,3,11,4,15,2.2
Baxter,P4_i1,PLAN,3,207,24,135,3,11,3,13,2.2
Baxter,P4_i1,PLAN,5,212,24,138,3,11,3,13,2.2
Baxter,P4_i1,PLAN,10,225,24,138,3,12,3,13,2.2
Baxter,P4_i1,DOMAIN,0.1,224,46,138,3,12,5,18,2.2
Baxter,P4_i1,DOMAIN,1,229,27,140,5,13,5,18,2.2
Baxter,P4_i1,DOMAIN,2,230,26,145,1,12,5,17,2.2
Baxter,P4_i1,DOMAIN,3,212,25,139,4,11,5,16,2.2
Baxter,P4_i1,DOMAIN,5,215,25,140,4,12,5,16,2.2
Baxter,P4_i1,DOMAIN,10,208,25,138,3,12,5,16,2.2
Baxter,P4_i2,SIMU,0.1,TO,-,-,-,-,-,-,-
Baxter,P4_i2,SIMU,1,232,13,145,5,15,12,39,8
Baxter,P4_i2,SIMU,2,222,10,137,6,15,9,33,10
Baxter,P4_i2,SIMU,3,217,8,134,6,14,7,29,9
Baxter,P4_i2,SIMU,5,450,13,364,175,245,6711,15273,35
Baxter,P4_i2,SIMU,10,229,9,144,10,18,20,65,40
Baxter,P4_i2,PLAN,0.1,TO,-,-,-,-,-,-,-
Baxter,P4_i2,PLAN,1,1490,73,1403,852,1272,42948,80620,6.8
Baxter,P4_i2,PLAN,2,228,83,143,4,16,8,31,7.8
Baxter,P4_i2,PLAN,3,229,73,144,2,15,7,29,6.8
Baxter,P4_i2,PLAN,5,225,93,142,4,16,6,27,8.8
Baxter,P4_i2,PLAN,10,229,143,145,5,16,6,27,13.8
Baxter,P4_i2,DOMAIN,0.1,7001,141,6918,4432,6786,142342,392154,6.8
Baxter,P4_i2,DOMAIN,1,6379,80,6285,4459,6157,142342,392154,6.8
Baxter,P4_i2,DOMAIN,2,236,89,150,7,19,29,65,7.8
Baxter,P4_i2,DOMAIN,3,232,78,149,10,20,34,69,6.8
Baxter,P4_i2,DOMAIN,5,231,86,146,5,18,23,46,7.9
Baxter,P4_i2,DOMAIN,10,236,145,153,8,24,51,86,13.8
Baxter,P4_i3,SIMU,0.1,226,46,143,7,19,46,99,4.4
Baxter,P4_i3,SIMU,1,215,7,132,4,13,7,21,5
Baxter,P4_i3,SIMU,2,214,5,131,2,12,5,17,6
Baxter,P4_i3,SIMU,3,213,4,131,4,13,4,15,6
Baxter,P4_i3,SIMU,5,201,3,129,3,11,3,13,5
