Experiment,Problem,Type,Delta,Time,PlanLength,PlanningTime,HeuristicTime,SearchTime,ExpandedNodes,StatesEvaluated,PlanDuration
Baxter,P4_i1,SIMU,0.1,244,24,151,6,16,24,55,2.2
Baxter,P4_i1,SIMU,0.2,242,13,140,3,13,13,33,2.2
Baxter,P4_i1,SIMU,0.5,215,7,140,4,12,7,21,2.5
Baxter,P4_i1,SIMU,1,251,5,164,3,13,5,17,3
Baxter,P4_i1,SIMU,2,212,4,136,3,11,4,15,4
Baxter,P4_i1,PLAN,0.1,233,24,140,5,16,24,55,2.2
Baxter,P4_i1,PLAN,0.2,223,24,139,5,13,13,33,2.2
Baxter,P4_i1,PLAN,0.5,217,24,134,4,12,7,21,2.2
Baxter,P4_i1,PLAN,1,204,24,133,2,11,5,17,2.2
Baxter,P4_i1,PLAN,2,259,24,140,2,11,4,15,2.2
Baxter,P4_i1,DOMAIN,0.1,224,46,145,4,12,5,18,2.2
Baxter,P4_i1,DOMAIN,0.2,220,35,144,4,11,5,18,2.2
Baxter,P4_i1,DOMAIN,0.5,233,29,147,5,14,5,18,2.2
Baxter,P4_i1,DOMAIN,1,228,27,144,4,12,5,18,2.2
Baxter,P4_i1,DOMAIN,2,227,26,143,3,12,5,17,2.2
Baxter,P4_i2,SIMU,0.1,TO,-,-,-,-,-,-,-
Baxter,P4_i2,SIMU,0.2,3102,40,3013,2396,2861,112565,224118,7
Baxter,P4_i2,SIMU,0.5,234,20,149,9,20,24,78,7.5
Baxter,P4_i2,SIMU,1,226,13,141,6,15,12,39,8
Baxter,P4_i2,SIMU,2,234,10,146,6,15,9,33,10
Baxter,P4_i2,PLAN,0.1,TO,-,-,-,-,-,-,-
Baxter,P4_i2,PLAN,0.2,TO,-,-,-,-,-,-,-
Baxter,P4_i2,PLAN,0.5,7192,73,7099,5147,6965,286215,523369,6.8
Baxter,P4_i2,PLAN,1,1509,73,1428,865,1303,42948,80620,6.8
Baxter,P4_i2,PLAN,2,219,83,138,5,15,8,31,7.8
Baxter,P4_i2,DOMAIN,0.1,6936,141,6856,4446,6720,142342,392154,6.8
Baxter,P4_i2,DOMAIN,0.2,6602,107,6524,4443,6390,142342,392154,6.8
Baxter,P4_i2,DOMAIN,0.5,6457,87,6350,4434,6217,142342,392154,6.8
Baxter,P4_i2,DOMAIN,1,6669,80,6579,4617,6449,142342,392154,6.8
Baxter,P4_i2,DOMAIN,2,239,89,155,6,22,29,65,7.8
Baxter,P4_i3,SIMU,0.1,232,46,144,11,19,46,99,4.4
Baxter,P4_i3,SIMU,0.2,222,24,137,5,15,24,55,4.4
Baxter,P4_i3,SIMU,0.5,206,11,135,4,13,11,29,4.5
Baxter,P4_i3,SIMU,1,210,7,128,3,11,7,21,5
Baxter,P4_i3,SIMU,2,223,5,138,4,11,5,17,6
Baxter,P4_i3,PLAN,0.1,218,46,147,9,20,46,99,4.4
Baxter,P4_i3,PLAN,0.2,220,46,135,7,15,24,55,4.4
Baxter,P4_i3,PLAN,0.5,217,46,142,4,14,11,29,4.4
Baxter,P4_i3,PLAN,1,211,46,139,4,13,7,21,4.4
Baxter,P4_i3,PLAN,2,219,46,135,3,11,5,17,4.4
Baxter,P4_i3,DOMAIN,0.1,247,90,154,4,15,7,22,4.4
Baxter,P4_i3,DOMAIN,0.2,242,68,152,3,14,7,22,4.4
Baxter,P4_i3,DOMAIN,0.5,233,55,141,3,14,7,22,4.4
Baxter,P4_i3,DOMAIN,1,231,51,145,3,14,7,22,4.4
Baxter,P4_i3,DOMAIN,2,208,49,139,3,12,7,20,4.4
Baxter,P4_i4,SIMU,0.1,208,48,138,6,19,49,105,4.7
Baxter,P4_i4,SIMU,0.2,203,25,134,7,15,26,59,4.8
Baxter,P4_i4,SIMU,0.5,218,11,134,5,13,12,31,5
Baxter,P4_i4,SIMU,1,205,6,132,4,11,7,21,5
Baxter,P4_i4,SIMU,2,219,4,134,3,10,5,17,6
Baxter,P4_i4,PLAN,0.1,213,48,143,9,20,49,105,4.7
Baxter,P4_i4,PLAN,0.2,206,48,136,7,17,26,59,4.7
Baxter,P4_i4,PLAN,0.5,211,48,138,6,14,12,31,4.7
Baxter,P4_i4,PLAN,1,223,48,137,4,13,7,21,4.7
Baxter,P4_i4,PLAN,2,203,48,131,4,12,5,17,4.7
Baxter,P4_i4,DOMAIN,0.1,233,95,141,5,13,7,22,4.7
Baxter,P4_i4,DOMAIN,0.2,209,72,142,5,12,7,22,4.7
Baxter,P4_i4,DOMAIN,0.5,228,58,143,1,13,7,22,4.7
Baxter,P4_i4,DOMAIN,1,226,53,142,2,13,7,22,4.7
Baxter,P4_i4,DOMAIN,2,215,51,144,4,13,7,20,4.7
Baxter,P4_i5,SIMU,0.1,229,98,146,15,26,98,203,9.6
Baxter,P4_i5,SIMU,0.2,221,50,143,6,19,50,107,9.6
Baxter,P4_i5,SIMU,0.5,209,22,134,5,15,22,51,10
Baxter,P4_i5,SIMU,1,214,12,131,4,13,12,31,10
Baxter,P4_i5,SIMU,2,214,7,133,3,11,7,21,10
Baxter,P4_i5,PLAN,0.1,238,98,156,11,24,98,203,9.6
Baxter,P4_i5,PLAN,0.2,231,98,143,10,20,50,107,9.6
Baxter,P4_i5,PLAN,0.5,222,98,138,8,15,22,51,9.6
Baxter,P4_i5,PLAN,1,229,98,144,4,15,12,31,9.6
Baxter,P4_i5,PLAN,2,219,98,134,4,14,7,21,9.6
Baxter,P4_i5,DOMAIN,0.1,226,194,144,6,15,12,32,9.6
Baxter,P4_i5,DOMAIN,0.2,228,146,145,4,16,12,32,9.6
Baxter,P4_i5,DOMAIN,0.5,234,118,149,5,15,12,32,9.6
Baxter,P4_i5,DOMAIN,1,236,108,148,5,15,12,32,9.6
Baxter,P4_i5,DOMAIN,2,231,103,145,5,15,12,27,9.6
Baxter,P5_i1,SIMU,0.1,251,103,165,19,33,103,217,10.1
Baxter,P5_i1,SIMU,0.2,241,53,156,14,25,53,117,10.2
Baxter,P5_i1,SIMU,0.5,230,23,145,7,17,23,57,10.5
Baxter,P5_i1,SIMU,1,222,13,140,6,16,13,37,11
Baxter,P5_i1,SIMU,2,222,8,140,5,15,8,27,12
Baxter,P5_i1,PLAN,0.1,240,103,156,15,31,103,217,10.1
Baxter,P5_i1,PLAN,0.2,233,103,149,13,25,53,117,10.1
Baxter,P5_i1,PLAN,0.5,227,103,145,8,19,23,57,10.1
Baxter,P5_i1,PLAN,1,232,103,148,7,18,13,37,10.1
Baxter,P5_i1,PLAN,2,247,103,158,6,17,8,27,10.1
Baxter,P5_i1,DOMAIN,0.1,254,204,164,6,17,13,38,10.1
Baxter,P5_i1,DOMAIN,0.2,236,154,153,8,17,13,38,10.1
Baxter,P5_i1,DOMAIN,0.5,244,124,154,5,17,13,38,10.1
Baxter,P5_i1,DOMAIN,1,247,114,158,5,18,13,38,10.1
Baxter,P5_i1,DOMAIN,2,243,109,154,8,17,13,33,10.1
Baxter,P5_i2,SIMU,0.1,251,87,164,18,32,87,209,8.1
Baxter,P5_i2,SIMU,0.2,243,47,158,14,25,47,129,8.2
Baxter,P5_i2,SIMU,0.5,239,27,154,12,23,28,101,9
Baxter,P5_i2,SIMU,1,237,18,153,11,20,19,71,10
Baxter,P5_i2,SIMU,2,224,14,142,6,18,14,61,12
Baxter,P5_i2,PLAN,0.1,247,87,161,18,31,87,209,8.1
Baxter,P5_i2,PLAN,0.2,252,87,158,12,26,48,131,8.1
Baxter,P5_i2,PLAN,0.5,240,104,156,14,26,33,123,9.1
Baxter,P5_i2,PLAN,1,254,114,171,16,29,31,141,10.2
Baxter,P5_i2,PLAN,2,276,134,173,10,30,26,131,12.2
Baxter,P5_i2,DOMAIN,0.1,277,218,189,22,49,79,339,10.2
Baxter,P5_i2,DOMAIN,0.2,267,167,184,24,48,79,339,10.2
Baxter,P5_i2,DOMAIN,0.5,275,137,186,23,47,79,339,10.2
Baxter,P5_i2,DOMAIN,1,262,127,180,26,45,79,339,10.2
Baxter,P5_i2,DOMAIN,2,251,142,180,22,47,121,265,12.1
Baxter,P5_i3,SIMU,0.1,242,66,158,13,27,67,145,6.5
Baxter,P5_i3,SIMU,0.2,231,34,147,8,20,35,81,6.6
Baxter,P5_i3,SIMU,0.5,229,14,146,7,17,15,41,6.5
Baxter,P5_i3,SIMU,1,232,8,145,5,15,9,29,7
Baxter,P5_i3,SIMU,2,227,5,141,5,14,6,23,8
Baxter,P5_i3,PLAN,0.1,234,66,151,15,26,67,145,6.5
Baxter,P5_i3,PLAN,0.2,244,66,151,10,23,35,81,6.5
Baxter,P5_i3,PLAN,0.5,245,66,154,7,17,15,41,6.5
Baxter,P5_i3,PLAN,1,222,66,140,5,16,9,29,6.5
Baxter,P5_i3,PLAN,2,240,66,154,3,16,6,23,6.5
Baxter,P5_i3,DOMAIN,0.1,234,131,151,5,16,9,30,6.5
Baxter,P5_i3,DOMAIN,0.2,238,99,154,5,16,9,30,6.5
Baxter,P5_i3,DOMAIN,0.5,234,79,150,5,15,9,30,6.5
Baxter,P5_i3,DOMAIN,1,236,73,153,5,15,9,30,6.5
Baxter,P5_i3,DOMAIN,2,230,70,148,7,15,9,27,6.5
Baxter,P5_i4,SIMU,0.1,272,158,182,29,45,158,351,15.2
