Experiment,Problem,Type,Delta,Time,PlanLength,PlanningTime,HeuristicTime,SearchTime,ExpandedNodes,StatesEvaluated,PlanDuration
Baxter,P4_i1,SIMU,1,228,5,139,8,20,5,17,3
Baxter,P4_i1,SIMU,2,256,4,173,38,53,69,256,4
Baxter,P4_i1,SIMU,3,204,3,131,6,15,3,13,3
Baxter,P4_i1,SIMU,5,204,3,131,6,15,3,13,5
Baxter,P4_i1,SIMU,10,201,3,129,6,15,3,13,10
Baxter,P4_i1,SIMU,50,201,4,131,6,16,7,17,50
Baxter,P4_i1,SIMU,100,205,4,131,6,16,7,17,100
Baxter,P4_i1,PLAN,1,221,5,139,8,18,5,17,3
Baxter,P4_i1,PLAN,2,216,5,133,9,18,4,15,3
Baxter,P4_i1,PLAN,3,213,5,132,7,18,3,13,3
Baxter,P4_i1,PLAN,5,219,5,136,5,17,3,13,3
Baxter,P4_i1,PLAN,10,202,5,132,7,18,3,13,3
Baxter,P4_i1,PLAN,50,230,5,143,8,18,3,13,3
Baxter,P4_i1,PLAN,100,240,5,156,6,19,3,13,3
Baxter,P4_i1,DOMAIN,1,231,8,148,7,19,5,18,3
Baxter,P4_i1,DOMAIN,2,223,7,141,9,18,5,17,3
Baxter,P4_i1,DOMAIN,3,223,6,140,7,18,5,16,3
Baxter,P4_i1,DOMAIN,5,226,6,140,9,17,5,16,3
Baxter,P4_i1,DOMAIN,10,219,6,136,8,17,5,16,3
Baxter,P4_i1,DOMAIN,50,211,6,141,9,18,5,16,3
Baxter,P4_i1,DOMAIN,100,223,6,140,9,19,5,16,3
Baxter,P4_i2,SIMU,1,324,19,238,101,122,298,1248,8
Baxter,P4_i2,SIMU,2,290,12,204,68,89,221,883,10
Baxter,P4_i2,SIMU,3,251,10,168,36,51,59,215,9
Baxter,P4_i2,SIMU,5,TO,-,-,-,-,-,-,-
Baxter,P4_i2,SIMU,10,277,20,181,45,57,78,278,60
Baxter,P4_i2,SIMU,50,UNSAT,-,-,-,-,-,-,-
Baxter,P4_i2,SIMU,100,UNSAT,-,-,-,-,-,-,-
Baxter,P4_i2,PLAN,1,350,19,256,108,124,298,1248,8
Baxter,P4_i2,PLAN,2,434,16,326,159,195,801,2087,9
