Dominio,Problema,Delta,Risolto,Stati Raggiungibili,Azioni,Durata Piano,Comp-Time,CPU-Time
Linear-Car,instance_1_30.0_0.1_10.0.pddl,1,true,300434,630825,35.00,6.53,18.00
Linear-Car,instance_1_30.0_0.1_10.0.pddl,2,true,51416,79739,36.01,3.96,6.12
Linear-Car,instance_1_30.0_0.1_10.0.pddl,3,false,,,,3.79,
Linear-Car,instance_1_30.0_0.1_10.0.pddl,5,true,2555,3090,35.00,5.12,6.46
Linear-Car,instance_1_30.0_0.1_10.0.pddl,10,true,704,792,40.00,4.79,6.25
Linear-Car,instance_1_30.0_0.1_10.0.pddl,20,false,,,,4.63,
Linear-Car,instance_1_30.0_0.1_10.0.pddl,30,false,,,,5.48,
Linear-Car,instance_1_30.0_0.1_10.0.pddl,50,false,,,,5.96,
Linear-Car,instance_1_30.0_0.1_10.0.pddl,100,false,,,,5.28,
Linear-Car,instance_2_30.0_0.1_10.0.pddl,1,true,680917,1539191,25.01,5.14,18.33
Linear-Car,instance_2_30.0_0.1_10.0.pddl,2,true,128508,208133,26.01,4.78,9.33
Linear-Car,instance_2_30.0_0.1_10.0.pddl,3,true,402024,586588,39.02,4.41,15.59
Linear-Car,instance_2_30.0_0.1_10.0.pddl,5,true,5616,7093,25.01,5.58,6.93
Linear-Car,instance_2_30.0_0.1_10.0.pddl,10,true,1004,1146,30.00,5.33,7.44
Linear-Car,instance_2_30.0_0.1_10.0.pddl,20,true,479,529,40.01,5.25,6.94
Linear-Car,instance_2_30.0_0.1_10.0.pddl,30,false,,,,5.66,
Linear-Car,instance_2_30.0_0.1_10.0.pddl,50,false,,,,6.18,
Linear-Car,instance_2_30.0_0.1_10.0.pddl,100,false,,,,6.91,
Linear-Car,instance_3_30.0_0.1_10.0.pddl,1,true,1258990,2921394,20.01,5.97,31.47
Linear-Car,instance_3_30.0_0.1_10.0.pddl,2,true,186873,306910,20.01,5.29,10.47
Linear-Car,instance_3_30.0_0.1_10.0.pddl,3,true,353242,518025,27.02,6.07,15.71
Linear-Car,instance_3_30.0_0.1_10.0.pddl,5,true,9636,12227,20.01,5.25,6.96
Linear-Car,instance_3_30.0_0.1_10.0.pddl,10,true,1163,1364,20.01,5.38,6.95
Linear-Car,instance_3_30.0_0.1_10.0.pddl,20,true,766,841,40.01,5.87,7.25
Linear-Car,instance_3_30.0_0.1_10.0.pddl,30,false,,,,4.64,
Linear-Car,instance_3_30.0_0.1_10.0.pddl,50,false,,,,4.96,
Linear-Car,instance_3_30.0_0.1_10.0.pddl,100,false,,,,5.20,
Linear-Car,instance_4_30.0_0.1_10.0.pddl,1,true,2216500,5218007,19.01,4.99,61.25
Linear-Car,instance_4_30.0_0.1_10.0.pddl,2,true,340092,561707,20.01,4.54,14.11
Linear-Car,instance_4_30.0_0.1_10.0.pddl,3,true,682755,1010977,27.02,5.85,21.56
Linear-Car,instance_4_30.0_0.1_10.0.pddl,5,true,16282,20801,20.01,4.96,6.50
Linear-Car,instance_4_30.0_0.1_10.0.pddl,10,true,1687,1991,20.01,4.89,6.54
Linear-Car,instance_4_30.0_0.1_10.0.pddl,20,true,1094,1196,40.01,4.48,5.79
Linear-Car,instance_4_30.0_0.1_10.0.pddl,30,false,,,,5.15,
Linear-Car,instance_4_30.0_0.1_10.0.pddl,50,false,,,,4.63,
